answerID,edad,escuela,genero,grado,loID,problema,respuesta,respuestaJ,tiempo,tipo
-LZej4JRXGBuwR7SGGlf,7,"Hartford International School",0,1,1,1+10=?,11,11,3.8737678528,1
-LZej5IBbgM5kNoKe4hm,5,"Hartford International School",0,1,4,25+25=?,50,50,13.0086326599,1
-LZej5NKXuaIlrsoF4tz,7,"Hartford International School",0,1,1,2+10=?,12,12,4.3461914062,1
-LZej6hmdH5WAEoWciN9,10,"Hartford International School",1,4,4,25+25=?,50,50,49.8787078857,1
-LZej7ocSWrBt1t7WqdT,7,"Hartford International School",0,1,1,7+10=?,17,17,9.9935207367,1
-LZej8bkaXnTlBk_wlqX,7,"Hartford International School",0,1,1,10+2=?,12,12,3.2911725044,1
-LZej8mDnBMDJACJ1Swg,9,"Hartford International School",1,4,3,17+10=?,27,27,22.3277397156,1
-LZej94vtozLw1F8yACc,10,"Hartford International School",1,4,4,42+35=?,77,77,9.7402839661,1
-LZej9J_eb3QmTrNZaX6,7,"Hartford International School",0,1,2,10+8=?,18,18,2.8659310341,1
-LZej9uBYxigCj-X9sqP,7,"Hartford International School",0,1,2,10+7=?,17,17,2.40928936,1
-LZejAi_jECH2e1l8bLo,7,"Hartford International School",0,1,2,10+6=?,16,16,3.3541507721,1
-LZejB1VQHU9s3hZQtWg,10,"Hartford International School",1,4,4,37+23=?,60,48,7.9881744385,1
-LZejBzoDdrnm4WhE-E_,5,"Hartford International School",0,1,4,42+35=?,77,77,27.4354476929,1
-LZejCmFFo79XyLMR3PW,7,"Hartford International School",0,1,2,12+8=?,20,16,8.4246501923,1
-LZejD9F5yUVPEcHK6WN,7,"Hartford International School",1,2,0,2+2=?,4,4,6.6945776939,1
-LZejFD9r_dnLCfXLkGY,7,"Hartford International School",1,2,0,4+2=?,6,6,8.4433422089,1
-LZejFDZmvEzffH0axGO,9,"Hartford International School",1,4,3,15+10=?,25,25,26.374710083,1
-LZejGlsWMvU-ZhTYdjo,7,"Hartford International School",0,1,2,11+4=?,15,18,16.3611564636,1
-LZejH_e-zoDr_Gj5GGS,6,"Hartford International School",1,1,3,17+10=?,27,27,59.1990470886,1
-LZejIEUPDrHqKhiqBow,7,"Hartford International School",0,1,3,7+13=?,20,24,5.9916648865,1
-LZejIgYOfm3DPSLoGiq,5,"Hartford International School",0,1,4,37+23=?,60,48,27.4286365509,1
-LZejJZsqpTPOdbKF9y_,7,"Hartford International School",1,2,0,6+3=?,9,9,17.8377685547,1
-LZejJe2kE_Gg7h29Tsb,6,"Hartford International School",1,1,0,2+2=?,4,3,75.6411972046,1
-LZejJuOzvXjp7VDIWTV,7,"Hartford International School",0,1,3,3+12=?,15,15,6.8421096802,1
-LZejKaSb8Vw1NTCMWjH,7,"Hartford International School",0,1,3,0+20=?,20,20,2.8187561035,1
-LZejLkNHUj5FgFc6ysw,10,"Hartford International School",1,4,4,62+38=?,100,100,6.6710643768,1
-LZejLtACeJdyQvMq5fH,7,"Hartford International School",0,1,3,17+10=?,27,32,5.2910118103,1
-LZejM_Iv3ZiNaGdPtKW,7,"Hartford International School",1,2,0,2+0=?,2,2,12.3145217896,1
-LZejMc5c1xxJ6AOKmVs,6,"Hartford International School",1,1,0,4+2=?,6,5,12.1619338989,1
-LZejNEfV-fTVV_moRwD,9,"Hartford International School",1,4,4,25+10=?,35,35,15.2749290466,1
-LZejNnl_9iqx-ShoEOF,7,"Hartford International School",1,2,0,2+8=?,10,10,5.0225753784,1
-LZejOoRwQB8d3cLVOrS,7,"Hartford International School",1,2,1,5+5=?,10,10,4.1381874084,1
-LZejQMm3wykmkkOBflZ,6,"Hartford International School",1,1,0,6+3=?,9,8,15.3405570984,1
-LZejQNoKOlRSYc5bzCG,6,"Hartford International School",1,1,3,15+10=?,25,25,36.042301178,1
-LZejQNoToimkexkVNTl,7,"Hartford International School",1,2,1,1+10=?,11,11,6.4167385101,1
-LZejQvEgEG8Dkufve_-,7,"Hartford International School",0,1,3,15+10=?,25,30,20.6009349823,1
-LZejRT96ZyjyyF-UKxL,7,"Hartford International School",1,2,1,2+10=?,12,12,4.4385881424,1
-LZejSOMb_6hQ4pI1Oov,7,"Hartford International School",1,2,1,7+10=?,17,17,3.787815094,1
-LZejTKKxWrBr4mEYy5h,7,"Hartford International School",1,2,1,10+2=?,12,12,3.837884903,1
-LZejTNQlq0bJci7LY0K,6,"Hartford International School",1,1,0,2+0=?,2,1,12.3291778564,1
-LZejU5EuacPQzHm2ZYm,9,"Hartford International School",1,4,0,2+2=?,4,4,4.3062944412,1
-LZejUVeiAFOal9bQNSz,7,"Hartford International School",1,2,2,10+8=?,18,18,4.8223819733,1
-LZejV2LLti2GTSLg8CX,7,"Hartford International School",1,2,2,10+7=?,17,17,2.2193050385,1
-LZejVaNSETl2jBQoyZi,9,"Hartford International School",1,4,0,4+2=?,6,6,6.1539821625,1
-LZejVabA0DIkhs5Ztzh,6,"Hartford International School",1,1,0,2+8=?,10,12,9.0941143036,1
-LZejVs0fGbqBY9WThHG,7,"Hartford International School",1,2,2,10+6=?,16,16,3.3706569672,1
-LZejW0wajU-PYhCoOQ2,7,"Hartford International School",0,1,4,25+10=?,35,35,4.8973121643,1
-LZejXENyIw2HTvSDX-b,9,"Hartford International School",1,4,0,6+3=?,9,9,6.7371320724,1
-LZejY31r9VfEcybvFy3,9,"Hartford International School",1,4,0,2+0=?,2,2,3.3693256378,1
-LZejY5Zq3NYvrHG5SIW,9,"Hartford International School",1,4,4,25+25=?,50,50,23.5644454956,1
-LZejYKV9rl0mjS-T58V,6,"Hartford International School",1,1,1,5+5=?,10,8,11.1916217804,1
-LZejZ_D_YcJXn1CGLzR,9,"Hartford International School",1,4,0,2+8=?,10,10,6.2211647034,1
-LZejZ_pUU5xOA3Ga18D,7,"Hartford International School",0,1,4,25+25=?,50,40,3.5273628235,1
-LZej_HuaBHg19aj-gzK,9,"Hartford International School",1,4,1,5+5=?,10,10,2.9187679291,1
-LZej_t7TExL31O7ebBB,6,"Hartford International School",1,1,1,1+10=?,11,11,10.4722042084,1
-LZej_wJNPrhAhcZtBbn,9,"Hartford International School",1,4,1,1+10=?,11,11,2.6517505646,1
-LZejawujb7Aq4H-0sEW,9,"Hartford International School",1,4,1,2+10=?,12,12,4.1360778809,1
-LZejbSa34-MN8XvQ-7z,7,"Hartford International School",0,1,4,42+35=?,77,62,11.7510910034,1
-LZejbwS42yB5dFT36wV,5,"Hartford International School",0,1,4,62+38=?,100,80,17.4316444397,1
