id,edad,escuela,genero,grado,loID,problema,respuesta,respuestaJ,tiempo,tipo,userID
-LaQ_0CIy1UFyRwybyaj,11,Hartford International School,0,5,1,3+10=?,13,13,5.030439376831055,1,-LaQZtfxo0QA8Ij62dk1
-LaQ_0FERu-9Th8jmxCW,10,Hartford International School,0,5,1,3+10=?,13,13,2.5899314880371094,1,-LaQZurPwCF55Hiv18kH
-LaQ_0cXShxJK5lphfhi,10,Hartford International School,0,5,1,3+10=?,13,13,2.0393505096435547,1,-LaQZvlOUvQcKzVILey9
-LaQ_0k3JpmlZaiC6SQs,10,Hartford International School,0,5,0,3+1=?,4,4,3.442671775817871,1,-LaQZxvCZUvf9J0938NI
-LaQ_0nGvYb9NlCCLj1e,10,Hartford International School,0,5,1,5+10=?,15,15,2.240020751953125,1,-LaQZurPwCF55Hiv18kH
-LaQ_0qa5bCCANwutZrr,11,Hartford International School,0,5,1,5+10=?,15,15,2.6405181884765625,1,-LaQZtfxo0QA8Ij62dk1
-LaQ_1HEidaEZrI5yZk1,11,Hartford International School,0,5,1,7+10=?,17,17,1.7716045379638672,1,-LaQZtfxo0QA8Ij62dk1
-LaQ_1Hq-V4eQ-6QtRNG,10,Hartford International School,0,5,1,5+10=?,15,15,2.707254409790039,1,-LaQZvlOUvQcKzVILey9
-LaQ_1N759xBifVthJSJ,10,Hartford International School,0,5,1,7+10=?,17,17,2.355579376220703,1,-LaQZurPwCF55Hiv18kH
-LaQ_1Q206ulzhHj8Sh3,10,Hartford International School,1,5,0,1+3=?,4,4,3.715728044509888,1,-LaQ_08Mr96o00YYSj4_
-LaQ_1SkRGNfKhnR-ima,10,Hartford International School,0,5,0,6+4=?,10,10,2.9244203567504883,1,-LaQZxvCZUvf9J0938NI
-LaQ_1nwHWqUoNJv0C1q,11,Hartford International School,0,5,1,0+10=?,10,10,2.156089782714844,1,-LaQZtfxo0QA8Ij62dk1
-LaQ_1pokprlfLr3V85E,10,Hartford International School,0,5,1,7+10=?,17,17,2.239120483398437,1,-LaQZvlOUvQcKzVILey9
-LaQ_1wZF6MCGf_FkvZV,10,Hartford International School,0,5,1,1+10=?,11,11,1.9722938537597656,1,-LaQZxvCZUvf9J0938NI
-LaQ_2DDYPvEyZHU_Bjr,10,Hartford International School,1,5,0,1+3=?,4,4,3.2954621315002437,1,-LaQ_17xY4fcr0IJ-wUl
-LaQ_2Fzt89uDb7zu2cr,10,Hartford International School,0,5,1,0+10=?,10,10,1.738019943237305,1,-LaQZvlOUvQcKzVILey9
-LaQ_2IJdEFyGi41lCrQ,10,Hartford International School,1,5,0,4+2=?,6,6,3.594374418258667,1,-LaQ_08Mr96o00YYSj4_
-LaQ_2NkE3bQD5Av6YBf,11,Hartford International School,0,5,2,2+12=?,14,14,2.3565826416015625,1,-LaQZtfxo0QA8Ij62dk1
-LaQ_2WO61ago_hmsFzn,10,Hartford International School,0,5,1,3+10=?,13,13,2.356344223022461,1,-LaQZxvCZUvf9J0938NI
-LaQ_2ZpmVVOPxo8bLs_,10,Hartford International School,0,5,1,0+10=?,10,10,4.913749694824219,1,-LaQZurPwCF55Hiv18kH
-LaQ_2m7-rLn_2s1lsxf,10,Hartford International School,0,5,2,2+12=?,14,14,2.1225299835205083,1,-LaQZvlOUvQcKzVILey9
