answerID,answerChangedCount,edad,escuela,genero,grado,loID,problema,respuesta,respuestaJ,tiempo,tipo,userID
-LcC9bB_4cbtY7uxSsJz,1,10,Colegio la Ensenanza,1,5,1,1+10=?,11,11,2.089794159,1,-LcC9XItyyOrVxzcUKCC
-LcC9bYMER392K6_8_5F,1,9,Colegio la Ensenanza,1,5,0,3+1=?,4,4,3.275527954,1,-LcC9XonlJh6zjm8wRMb
-LcC9bddrVQd_c1DzJMC,1,10,Colegio la Ensenanza,1,5,0,6+4=?,10,10,4.788511276,1,-LcC9Y01hq-wpSGPOKxj
-LcC9bxqmnMYPzVsUs_V,1,10,Colegio la Ensenanza,1,5,1,3+10=?,13,13,3.158555984,1,-LcC9XItyyOrVxzcUKCC
-LcC9c6L2MPsLV98IneP,1,10,Colegio la Ensenanza,1,5,1,1+10=?,11,11,1.901422501,1,-LcC9Y01hq-wpSGPOKxj
-LcC9cXMpzZEjykT2Dgq,1,10,Colegio la Ensenanza,1,5,1,5+10=?,15,15,2.340490341,1,-LcC9XItyyOrVxzcUKCC
-LcC9cedMmHYn4FFsUBK,1,9,Colegio la Ensenanza,1,5,0,6+4=?,10,10,4.562072754,1,-LcC9XonlJh6zjm8wRMb
-LcC9ckZDmVjiLIbtg13,1,10,Colegio la Ensenanza,1,5,1,3+10=?,13,13,2.636203766,1,-LcC9Y01hq-wpSGPOKxj
-LcC9d5vq8OERFCc9b8t,1,10,Colegio la Ensenanza,1,5,1,7+10=?,17,17,2.339868546,1,-LcC9XItyyOrVxzcUKCC
-LcC9dH4bOWTliK3cjbW,1,9,Colegio la Ensenanza,1,5,1,1+10=?,11,11,2.52394104,1,-LcC9XonlJh6zjm8wRMb
-LcC9dJlwwR5-GQa9tCW,1,10,Colegio la Ensenanza,1,5,1,5+10=?,15,15,2.319143295,1,-LcC9Y01hq-wpSGPOKxj
-LcC9do2H_ZPrlM1zCm6,1,10,Colegio la Ensenanza,1,5,1,7+10=?,17,17,2.001899719,1,-LcC9Y01hq-wpSGPOKxj
-LcC9dq8O16ffBIEBFoD,1,10,Colegio la Ensenanza,1,5,1,0+10=?,10,10,3.025648117,1,-LcC9XItyyOrVxzcUKCC
-LcC9eBmsjmYKXELjgmc,1,9,Colegio la Ensenanza,1,5,1,3+10=?,13,13,3.743293762,1,-LcC9XonlJh6zjm8wRMb
-LcC9eO6hmGWtpLXygJN,1,10,Colegio la Ensenanza,1,5,1,0+10=?,10,10,2.369123459,1,-LcC9Y01hq-wpSGPOKxj
-LcC9eXiXNARA9AZQSKi,1,10,Colegio la Ensenanza,1,5,2,2+12=?,14,14,2.840919495,1,-LcC9XItyyOrVxzcUKCC
-LcC9eoPum_lXZS7jZUc,1,9,Colegio la Ensenanza,1,5,1,5+10=?,15,15,2.540306091,1,-LcC9XonlJh6zjm8wRMb
-LcC9f9rVnilpEvx3r3U,1,10,Colegio la Ensenanza,1,5,2,2+12=?,14,14,3.186515808,1,-LcC9Y01hq-wpSGPOKxj
-LcC9fNdRvnhCL0rRqMF,1,9,Colegio la Ensenanza,1,5,1,7+10=?,17,17,2.323066711,1,-LcC9XonlJh6zjm8wRMb
-LcC9fRuSUalwt1lJAhS,1,10,Colegio la Ensenanza,1,5,2,6+11=?,17,17,3.727806091,1,-LcC9XItyyOrVxzcUKCC
-LcC9fVitw-uKAYylITH,1,10,Colegio la Ensenanza,1,5,0,1+3=?,4,4,3.663734674,1,-LcC9eJjqssJq3TxrRB-
-LcC9g3sQg_1ILXob5dM,1,9,Colegio la Ensenanza,1,5,1,0+10=?,10,10,2.824508667,1,-LcC9XonlJh6zjm8wRMb
-LcC9gbZxcyVEpLwwbLu,1,10,Colegio la Ensenanza,1,5,0,4+2=?,6,6,4.429361343,1,-LcC9eJjqssJq3TxrRB-
-LcC9gnSWkbb1YtbKVyc,1,9,Colegio la Ensenanza,1,5,2,2+12=?,14,14,2.991016388,1,-LcC9XonlJh6zjm8wRMb
-LcC9gyrUlXQAi4EW4sj,1,10,Colegio la Ensenanza,1,5,2,6+11=?,17,17,7.424129486,1,-LcC9Y01hq-wpSGPOKxj
-LcC9h18RgoVtFzKV-Xi,1,10,Colegio la Ensenanza,1,5,0,1+3=?,4,4,13.07874298,1,-LcC9dfKMykAfuobp_Z3
-LcC9hEiOhzVQd6tY5FZ,1,10,Colegio la Ensenanza,1,5,2,7+17=?,24,24,7.353916168,1,-LcC9XItyyOrVxzcUKCC
-LcC9hRJgB5HfB772phz,1,10,Colegio la Ensenanza,1,5,0,4+3=?,7,7,3.376303673,1,-LcC9eJjqssJq3TxrRB-
-LcC9i-CoEhksPvfMrvW,1,9,Colegio la Ensenanza,1,5,2,6+11=?,17,17,4.914043427,1,-LcC9XonlJh6zjm8wRMb
-LcC9i4XVWl5OZISN1sN,1,10,Colegio la Ensenanza,1,5,0,3+1=?,4,4,2.640624046,1,-LcC9eJjqssJq3TxrRB-
-LcC9i9FwEoy9FdfZhDx,1,10,Colegio la Ensenanza,1,5,2,8+21=?,29,29,3.744300842,1,-LcC9XItyyOrVxzcUKCC
-LcC9iPaE5wrkWklpMxM,1,10,Colegio la Ensenanza,1,5,2,7+17=?,24,24,5.872585297,1,-LcC9Y01hq-wpSGPOKxj
-LcC9im28k6WZRFb5Zt0,1,10,Colegio la Ensenanza,1,5,2,3+30=?,33,33,2.540687561,1,-LcC9XItyyOrVxzcUKCC
-LcC9inU1CReN5o1QPzh,1,10,Colegio la Ensenanza,1,5,0,4+2=?,6,6,7.254611969,1,-LcC9dfKMykAfuobp_Z3
-LcC9jCWFXmsihozfQPn,1,9,Colegio la Ensenanza,1,5,2,7+17=?,24,24,4.946674347,1,-LcC9XonlJh6zjm8wRMb
-LcC9jay-iArQ1QHcfgU,1,10,Colegio la Ensenanza,1,5,0,6+4=?,10,10,6.235054016,1,-LcC9eJjqssJq3TxrRB-
-LcC9jeKoRv6ARp1KGjF,1,10,Colegio la Ensenanza,1,5,0,4+3=?,7,7,3.509729385,1,-LcC9dfKMykAfuobp_Z3
-LcC9jgGJH7xPyGEqbQp,1,10,Colegio la Ensenanza,1,5,3,13+10=?,23,23,3.727134705,1,-LcC9XItyyOrVxzcUKCC
-LcC9jwrdgghuNzwXdxL,1,10,Colegio la Ensenanza,1,5,2,8+21=?,29,29,6.29013443,1,-LcC9Y01hq-wpSGPOKxj
-LcC9k8hqJOvjOHvhiHx,1,10,Colegio la Ensenanza,1,5,0,3+1=?,4,4,2.008644104,1,-LcC9dfKMykAfuobp_Z3
