answerID;answerChangedCount;edad;escuela;genero;grado;loID;problema;respuesta;respuestaJ;tiempo;tipo;userID
¿-LcH7EtjqykMcEPw-gID;1;8;ColegiolaEnsenanza;1;2;1;3+10?;13;-;145,7569275;1;¿-LcH7EtccG1KFVhQ8eJ4
¿-LcH7Etk7wTFTlASKAHT;1;8;ColegiolaEnsenanza;1;2;1;5+10?;15;-;99,28089142;1;¿-LcH7EtccG1KFVhQ8eJ4
-LcH7Etl0O8Ar-87raGL;1;8;ColegiolaEnsenanza;1;2;1;7+10?;17;17;29,74392319;1;¿-LcH7EtccG1KFVhQ8eJ4
¿-LcH7EtmvrNd14ADTDNe;1;8;ColegiolaEnsenanza;1;2;1;0+10?;10;10;36,56007767;1;¿-LcH7EtccG1KFVhQ8eJ4
¿-LcH7EtqUfKnvjwJorw3;2;8;ColegiolaEnsenanza;1;2;2;2+12?;14;14;27,29103088;1;¿-LcH7EtccG1KFVhQ8eJ4
¿-LcH7EtruuK8AmLo9s74;1;8;ColegiolaEnsenanza;1;2;2;6+11?;17;-;30,40921402;1;¿-LcH7EtccG1KFVhQ8eJ4
¿-LcH7Ets5HP6RZ3zsxt6;1;8;ColegiolaEnsenanza;1;2;2;7+17?;24;-;36,00009918;1;¿-LcH7EtccG1KFVhQ8eJ4
¿-LcH7EttbVKqwd_a1AWa;1;8;ColegiolaEnsenanza;1;2;2;8+21?;29;29;53,245121;1;¿-LcH7EtccG1KFVhQ8eJ4
¿-LcH7EtuPXNCn2wgeqny;1;8;ColegiolaEnsenanza;1;2;2;3+30?;33;33;12,25382423;1;¿-LcH7EtccG1KFVhQ8eJ4
¿-LcH7EtxtQSEDhfRDvbX;1;8;ColegiolaEnsenanza;1;2;3;13+10?;23;23;33,96498489;1;¿-LcH7EtccG1KFVhQ8eJ4
¿-LcH7Etyn3Andh9xqWAE;1;8;ColegiolaEnsenanza;1;2;3;22+10?;32;32;16,59965515;1;¿-LcH7EtccG1KFVhQ8eJ4
-LcH7Etzu-IxWDw-2PuX;1;8;ColegiolaEnsenanza;1;2;3;17+10?;27;27;17,17741013;1;¿-LcH7EtccG1KFVhQ8eJ4
¿-LcH7Eu-ZmOf8EePaza9;1;8;ColegiolaEnsenanza;1;2;3;33+10?;43;43;19,55272484;1;¿-LcH7EtccG1KFVhQ8eJ4
¿-LcH7Eu1ivDJlTrCGMzM;1;8;ColegiolaEnsenanza;1;2;3;40+10?;50;50;20,97180557;1;¿-LcH7EtccG1KFVhQ8eJ4
¿-LcH7Eu22pyD-JpKgZ-o;1;8;ColegiolaEnsenanza;1;2;4;17+25?;42;-;9,732145309;1;¿-LcH7EtccG1KFVhQ8eJ4
¿-LcH7Eu3vECRkLdpwbal;1;8;ColegiolaEnsenanza;1;2;4;25+25?;50;-;30,53314781;1;¿-LcH7EtccG1KFVhQ8eJ4
¿-LcH7Eu4XM3HnKyMi-T8;1;8;ColegiolaEnsenanza;1;2;4;42+35?;77;-;47,19981003;1;¿-LcH7EtccG1KFVhQ8eJ4
¿-LcH7Eu5Czj3PjTHPhtI;1;8;ColegiolaEnsenanza;1;2;4;46+37?;83;-;36,37304688;1;¿-LcH7EtccG1KFVhQ8eJ4
-LcH7Eu61m9xAdK6Ut-C;1;8;ColegiolaEnsenanza;1;2;4;61+39?;100;-;59,54261398;1;¿-LcH7EtccG1KFVhQ8eJ4
¿-LcHIW3oadSG675Hj8yL;1;8;ColegiolaEnsenanza;1;3;0;1+3?;4;4;5,006703854;1;¿-LcHIW3eUfvSx_iUbV3R
¿-LcHIW4dXPk2QfIBmyDM;1;8;ColegiolaEnsenanza;1;3;0;4+2?;6;6;3,169437885;1;¿-LcHIW3eUfvSx_iUbV3R
¿-LcHIW4f8x1IatJy9YXX;1;8;ColegiolaEnsenanza;1;3;0;4+3?;7;7;4,103590012;1;¿-LcHIW3eUfvSx_iUbV3R
¿-LcHIW4hEEkplzKAeSYS;1;8;ColegiolaEnsenanza;1;3;0;3+1?;4;4;5,905170441;1;¿-LcHIW3eUfvSx_iUbV3R
-LcHIW4khg-59sCL__E1;1;8;ColegiolaEnsenanza;1;3;0;6+4?;10;10;16,71466064;1;¿-LcHIW3eUfvSx_iUbV3R
